block_condition,frequency_sound_1,modulate,mod_hz,frequency_sound_2,freq_cond
diff,250,higher,5,255,1
diff,250,higher,10,260,1
diff,250,higher,2,252,1
diff,500,higher,5,505,2
diff,500,higher,10,510,2
diff,500,higher,2,502,2
diff,1000,higher,5,1005,3
diff,1000,higher,10,1010,3
diff,1000,higher,2,1002,3
diff,2000,higher,5,2005,4
diff,2000,higher,10,2010,4
diff,2000,higher,2,2002,4
diff,250,lower,5,245,1
diff,250,lower,10,240,1
diff,250,lower,2,248,1
diff,500,lower,5,495,2
diff,500,lower,10,490,2
diff,500,lower,2,498,2
diff,1000,lower,5,995,3
diff,1000,lower,10,990,3
diff,1000,lower,2,998,3
diff,2000,lower,5,1995,4
diff,2000,lower,10,1990,4
diff,2000,lower,2,1998,4
